customer_id,Recency,Frequency,Monetary
1,0.5095890410958904,1.0,0.10584564125857138
2,0.4547945205479452,0.0,0.020952175768562058
3,0.32054794520547947,0.0,0.005272864747074022
4,0.4246575342465753,0.0,0.032492785403667464
5,0.2821917808219178,1.0,0.44286986556081726
6,0.3643835616438356,1.0,0.13643237353701157
7,0.4136986301369863,1.0,0.3150435483052045
8,0.5452054794520548,0.0,0.02182904254107482
9,0.26575342465753427,0.0,0.15073874996397846
10,0.6986301369863014,0.0,0.01936105366726542
11,0.6931506849315069,0.0,0.3201675240932525
12,0.10410958904109589,1.0,0.4285243800524472
13,0.20273972602739726,0.0,0.07339608168171793
14,0.7698630136986302,1.0,0.2121249130337531
15,0.019178082191780823,0.0,0.2067635382603457
17,0.0136986301369863,0.0,0.1900042676927426
18,0.2876712328767123,0.0,0.2439281435811019
19,0.4054794520547945,0.0,0.05268199102275049
20,0.8410958904109589,0.0,0.460927283181311
21,0.19452054794520549,1.0,0.24435697122806627
22,0.18904109589041096,1.0,0.3798994416320974
23,0.452054794520548,0.0,0.3695396518056731
24,0.136986301369863,1.0,0.5376593008942943
25,0.07671232876712329,1.0,0.5443949825106931
26,0.42191780821917807,0.0,0.5006511318991506
27,0.2136986301369863,0.0,0.002436427158992824
28,0.0410958904109589,0.0,0.02035867830516335
29,0.1315068493150685,1.0,0.3210313545052975
30,0.30684931506849317,0.0,0.32659650817654245
31,0.33972602739726027,1.0,0.05537708701839223
32,0.8,1.0,0.4780447105996587
33,0.4684931506849315,0.0,0.44196143707348795
34,0.4136986301369863,1.0,0.19753310892496678
35,0.43561643835616437,0.0,0.2692969010512795
36,0.20821917808219179,1.0,0.8128047249259328
37,0.35342465753424657,0.0,0.05467175130466522
38,0.5315068493150685,0.0,0.12806371624097232
39,0.873972602739726,0.0,0.18421612364507614
40,0.6520547945205479,0.0,0.06914073917536098
41,0.7616438356164383,1.0,0.3665014936924599
42,0.6958904109589041,0.0,0.011944050685369497
43,0.18904109589041096,1.0,0.14543295125361758
44,0.2054794520547945,0.0,0.061592686464552744
45,0.1589041095890411,0.0,0.10746901119891973
46,0.4821917808219178,0.0,0.04198531419687099
47,0.15616438356164383,1.0,0.6487640844152368
48,0.8712328767123287,0.0,0.3121151700696141
50,0.8712328767123287,1.0,0.11319609018965843
51,0.5808219178082192,1.0,0.7291030572323668
52,0.40273972602739727,0.0,0.01796136022757368
53,0.35342465753424657,1.0,0.5616496347760696
54,0.6958904109589041,0.0,0.38157427089008145
55,0.3698630136986301,1.0,0.25336372406278856
56,0.3178082191780822,1.0,0.7788052107018912
57,0.0958904109589041,1.0,0.10960354369444965
58,0.452054794520548,0.0,0.05103803735534785
59,0.1863013698630137,0.0,0.32002343800387245
60,0.5315068493150685,0.0,0.013332766137298946
61,0.2,1.0,0.32052156419858624
62,0.6273972602739726,1.0,0.5903721675076262
63,0.7123287671232876,0.0,0.20911008314453478
64,0.20821917808219179,1.0,0.38505497913496195
65,0.14794520547945206,0.0,0.11358100588557367
66,0.20273972602739726,0.0,0.675220348798116
67,0.5589041095890411,1.0,0.6220292535928894
68,0.6273972602739726,1.0,0.42930862005321574
69,0.2410958904109589,1.0,0.18827317624747672
70,0.3561643835616438,0.0,0.033993339105925224
71,0.38904109589041097,1.0,0.29272461306023756
72,0.4986301369863014,0.0,0.189416259223225
73,0.4931506849315069,1.0,0.9414976170905311
74,0.18356164383561643,1.0,0.7711020939139407
75,0.1452054794520548,1.0,0.364429398502328
76,0.7863013698630137,0.0,0.06128187218603297
77,0.6273972602739726,0.0,0.636866690177857
78,0.8054794520547945,0.0,0.14146509480178557
79,0.1863013698630137,1.0,0.246951206961142
80,0.0684931506849315,1.0,0.6196360522607106
